player_id,nrows
frl4fzq,3610367
9gykp6g,1227781
n0g0zsv,1063812
yqhebyt,893901
uzip5ke,877366
r13q05q,587145
x8rbf3x,520762
vk43uke,447343
gzx7rv,385702
w8f2wrs,380393
0sqy7ba,372824
fit126a,372164
y6awfke,339597
l1doqao,303010
148r1k5,298536
d5deark,258428
v7wrmv5,242637
ne1igm6,238468
v90gnf6,228073
z8c5rtb,222563
cfmwho3,217326
xrm6gjj,216864
vo441ru,193041
7stgp0r,180937
hl7odjo,176895
o6g2zef,175744
sqhkewt,174919
z3u2vz,164689
lvrishm,161953
508rk86,156958
flidyt,153376
xgz550j,152962
b0602fr,150252
d99p79w,141006
68n9ll,137488
2bv2c7c,136818
zai3f1z,135535
3031jd7,129756
3ypgstx,128976
ftk8v41,123160
7ksck80,121500
y2opfq8,119368
gt4yc1j,115657
i6298h7,115417
8xjh8a,113831
a49ifaj,110318
hv7o35l,107273
w0lcyp8,97700
ta0ko40,95870
2o16sv1,95723
lm8ujtt,95039
zjod7wg,94578
p9dg8v5,94008
uui53he,93504
pqunrw,92109
8aaazt3,91508
u9itn0j,87965
rsgubi,85979
bo9mhqr,84588
33a3a5u,83826
9mxt26y,83673
yq9ubrt,83395
agmp5h7,83376
0z9xv36,77595
9gx7uks,76799
8uohdv4,76585
z8taipm,76552
3xhmhs7,76447
rcuqzrh,75730
omaw5mr,75029
r2p4ljs,74239
pxipu7n,72930
w764hxe,72570
52cxxgh,72386
n7ml8hx,72074
1krn0b7,72000
sxvkh3b,70539
ghtlpmi,70446
677l8bq,68775
0hz8270,68433
06mdn3c,67511
ji2hwh,65496
ntmyzk2,65368
bu0z5eh,64961
d4bovm,64463
56zi3vy,64350
szmkl5t,63987
2j4qo8i,63337
m5nq6la,62597
tuvemg,62290
k9ptsb2,59468
b9dujd,59378
im18fyp,58745
r6ei6zy,58029
36z77qn,56831
60u0i9n,56004
l3rcqx4,55803
3zd4fdk,55765
aqq25vq,55578
e8c79mk,54246
6jtbpdh,53929
qa94pwy,53650
cyr6jmc,51835
fn4tvxu,51370
cn1lmwf,51334
wm3pahu,51024
ioxyr9y,50691
o16roh6,49909
ldg6zjk,49826
txxrlzc,48523
0o2grk2,47536
xjq3u7v,45626
otu8x88,45421
9rhufeh,44784
fsui7zb,44549
iq2gdbj,44507
2wwrh4n,43465
2h2o0iz,43216
cp7kjhx,42860
lej2hfo,42776
ipuyiii,42704
yztl8at,42429
biysamt,42357
3pmv9aq,42327
m8luyig,41999
7f0qwx8,41659
dlepqpx,40987
lvwfjft,40980
izbr4dk,40876
i1zfvsm,40825
3kei971,39950
bqwut29,39069
adj01eb,38440
tdz6i2b,38143
ggxoegu,38082
gpu843e,37571
5c9e2i6,36930
gsf5udg,35320
pf3v1xv,35311
usatz0x,35079
4su8oxl,34877
fzf6j0l,34528
7nv0i9p,34508
ap1oez8,34344
atdolqt,34291
debs1l,33987
aekrml7,33504
7znx8wf,33286
31punba,33060
qy10wbn,32581
y2em80l,32496
4o8cham,32069
4fjfjlm,31754
7lbvlpl,31379
xpknzj9,31214
m7uqrnv,30724
2cf0s6s,30522
0n1ewpo,30184
l7pkjen,29979
5ypuhoh,29852
jy3jmug,29706
nbd9fus,29469
u4ufm8,29265
28sxfuh,29214
kwmdya1,29188
xfx1ung,28682
knki1se,28011
dj20pdi,27940
c8wbz3m,27880
u773jxv,27813
ha3ev43,27632
1l27eth,27537
cntm3vm,27509
4gpfvf,27439
cyfxq2q,27259
7p7z5ex,27054
y11qt0v,26857
ss83smv,26827
1ljg3w5,26732
avudrey,26639
87g7ege,26591
aa9mfhd,26161
h2o2ieg,25807
xiicmle,25804
r0y6x9j,25777
5uaozu8,25774
b8g4bl5,25514
v8gkfvj,25385
fu1y9x6,25370
z321p8r,25219
0kjevf3,25142
hwx9u0h,25101
1l967s6,24902
xd9a6f9,24354
rs28ffy,24011
jcih8no,23937
rvy0vfd,23744
g5fc9sj,23543
x89587l,23433
ajmwr7a,23168
w6utoxm,22987
c86v4rg,22911
s2o8tng,22883
dkz6u0j,22719
vxq7oi4,22593
v596phf,22427
pv8zc9h,22427
o4fves2,22378
l4etbgo,22345
ewtwqz,22314
v2x6zpt,22154
0xbcxal,22064
qd1umv,21880
lwacw1z,21386
3e6o7ih,21336
4uk8ff,21150
4l9kvp8,20931
do4ltbu,20864
nrr2gja,20533
vicipbn,20364
grqbbtw,20350
57226ew,20229
837kte9,19720
